id,ref,date,period_id,journal_id,line_id/name,line_id/partner_id,line_id/account_id,line_id/date_maturity,line_id/debit,line_id/credit,line_id/amount_currency,line_id/currency_id,line_id/account_tax_id,line_id/tax_amount
account_move_open_balance_3,AR Balance as of 30/6/2014,2014-06-30,06/2014,Opening Entries Journal,IV5704034,บริษัท แพรกซ์แอร์ (ประเทศไทย) จำกัด,112100,,26750,,,,,
,,,,,IV5704037,บริษัท แพรกซ์แอร์ (ประเทศไทย) จำกัด,112100,,52178.55,,,,,
,,,,,IV5704038,บริษัท แพรกซ์แอร์ (ประเทศไทย) จำกัด,112100,,106042.35,,,,,
,,,,,IV5704053,"Bayer Thai Co., Ltd.",112100,,44137.5,,,,,
,,,,,IV5704054,"Bayer Thai Co., Ltd.",112100,,34764.3,,,,,
,,,,,IV5705011,"Bayer Thai Co., Ltd.",112100,,6334.4,,,,,
,,,,,IV5705021,"Bayer Thai Co., Ltd.",112100,,23540,,,,,
,,,,,IV5705023,"Bayer Thai Co., Ltd.",112100,,12305,,,,,
,,,,,IV5705034,"Bayer Thai Co., Ltd.",112100,,21327.24,,,,,
,,,,,IV5705044,"Bayer Thai Co., Ltd.",112100,,200090,,,,,
,,,,,IV5705045,"Bayer Thai Co., Ltd.",112100,,1070,,,,,
,,,,,IV5706053,"Bayer Thai Co., Ltd.",112100,,2728.5,,,,,
,,,,,IV5706056,"Bayer Thai Co., Ltd.",112100,,535,,,,,
,,,,,IV5705037,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,5992,,,,,
,,,,,IV5705038,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,17120,,,,,
,,,,,IV5705039,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,39590,,,,,
,,,,,IV5705040,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,155150,,,,,
,,,,,IV5705041,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,4173,,,,,
,,,,,IV5705042,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,60027,,,,,
,,,,,IV5706013,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,109140,,,,,
,,,,,IV5706020,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,22871.25,,,,,
,,,,,IV5706048,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,16050,,,,,
,,,,,IV5706060,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),112100,,19762.9,,,,,
,,,,,IV5704064,บริษัท แอร์ ลิควิด (ประเทศไทย) จำกัด,112100,,12305,,,,,
,,,,,IV5705048,บริษัท แอร์ ลิควิด (ประเทศไทย) จำกัด,112100,,8025,,,,,
,,,,,IV5705049,บริษัท แอร์ ลิควิด (ประเทศไทย) จำกัด,112100,,20073.2,,,,,
,,,,,IV5705050,บริษัท แอร์ ลิควิด (ประเทศไทย) จำกัด,112100,,80250,,,,,
,,,,,IV5704045,Linde (Thailand) Public Company Limited,112100,,12305,,,,,
,,,,,IV5706005,Linde (Thailand) Public Company Limited,112100,,9095,,,,,
,,,,,IV5704052,"MIG PRODUCTION CO., LTD.",112100,,4280,,,,,
,,,,,IV5706001,บริษัท ไออาร์พีซี จำกัด (มหาชน),112100,,123050,,,,,
,,,,,IV5706002,บริษัท ไออาร์พีซี จำกัด (มหาชน),112100,,3959,,,,,
,,,,,IV5706003,บริษัท ไออาร์พีซี จำกัด (มหาชน),112100,,5778,,,,,
,,,,,IV5706006,บริษัท ไออาร์พีซี จำกัด (มหาชน),112100,,97284.4,,,,,
,,,,,IV5706007,บริษัท ไออาร์พีซี จำกัด (มหาชน),112100,,15515,,,,,
,,,,,IV5706044,บริษัท ไออาร์พีซี จำกัด (มหาชน),112100,,134820,,,,,
,,,,,IV5705019,PTT Global Chemical Public Company Limited,112100,,14124,,,,,
,,,,,IV5706010,PTT Global Chemical Public Company Limited,112100,,13910,,,,,
,,,,,IV5706025,PTT Global Chemical Public Company Limited,112100,,5350,,,,,
,,,,,IV5706029,PTT Global Chemical Public Company Limited,112100,,5136,,,,,
,,,,,IV5706049,PTT Global Chemical Public Company Limited,112100,,14124,,,,,
,,,,,IV5706061,PTT Global Chemical Public Company Limited,112100,,12305,,,,,
,,,,,IV5706062,PTT Global Chemical Public Company Limited,112100,,14177.5,,,,,
,,,,,IV5706028,PTT Asahi Chemical Company Limited,112100,,152571.3,,,,,
,,,,,IV5706016,MTP HPPO Manufacturing  Company Limited,112100,,35021.1,,,,,
,,,,,IV5706017,MTP HPPO Manufacturing  Company Limited,112100,,1842.54,,,,,
,,,,,IV5706026,MTP HPPO Manufacturing  Company Limited,112100,,31308.2,,,,,
,,,,,IV5706027,MTP HPPO Manufacturing  Company Limited,112100,,3623.02,,,,,
,,,,,IV5706050,MTP HPPO Manufacturing  Company Limited,112100,,17013,,,,,
,,,,,IV5706009,"HANA Semiconductor (Ayutthaya) Co., Ltd. ",112100,,11235,,,,,
,,,,,IV5706037,"HANA Semiconductor (Ayutthaya) Co., Ltd. ",112100,,17120,,,,,
,,,,,IV5706030,Asia Silicones Monomer Limited.,112100,,1155.6,,,,,
,,,,,IV5706031,Asia Silicones Monomer Limited.,112100,,2675,,,,,
,,,,,IV5705036,"Glow Energy Public Co., Ltd.",112100,,38520,,,,,
,,,,,IV5706018,UBE Chemicals (Asia) Public Company Limited,112100,,32421,,,,,
,,,,,IV5706014,บริษัท ระยองโอเลฟินส์ จำกัด,112100,,35962.7,,,,,
,,,,,IV5706015,บริษัท ระยองโอเลฟินส์ จำกัด,112100,,3916.2,,,,,
,,,,,IV5706023,บริษัท ระยองโอเลฟินส์ จำกัด,112100,,1209.1,,,,,
,,,,,IV5706045,บริษัท ระยองโอเลฟินส์ จำกัด,112100,,20330,,,,,
,,,,,IV5706068,บริษัท ระยองโอเลฟินส์ จำกัด,112100,,4494,,,,,
,,,,,IV5705028,บริษัท มาบตาพุด แทงค์ เทอร์มินัล จำกัด,112100,,47080,,,,,
,,,,,IV5705035,บริษัท นวพลาสติกอุตสาหกรรม จำกัด,112100,,28248,,,,,
,,,,,IV5706021,บริษัท นวพลาสติกอุตสาหกรรม จำกัด,112100,,2889,,,,,
,,,,,IV5706046,บริษัท นวพลาสติกอุตสาหกรรม จำกัด,112100,,8827.5,,,,,
,,,,,IV5705046,บริษัท ไทย.เอ.บี.เอส จำกัด,112100,,48150,,,,,
,,,,,IV5705051,บริษัท ไคเนติคส์ คอร์ปอเรชั่น จำกัด,112100,,720752,,,,,
,,,,,IV5706058,บริษัท ไคเนติคส์ คอร์ปอเรชั่น จำกัด,112100,,21967.1,,,,,
,,,,,IV5706051,บริษัท โยโกกาวา (ประเทศไทย) จำกัด,112100,,2129.3,,,,,
,,,,,IV5706052,บริษัท โยโกกาวา (ประเทศไทย) จำกัด,112100,,4258.6,,,,,
,,,,,IV5706057,บริษัท โยโกกาวา (ประเทศไทย) จำกัด,112100,,11930.5,,,,,
,,,,,IV5706004,บริษัท ทีพีซี เพสต์ เรซิน จำกัด,112100,,10486,,,,,
,,,,,IV5706011,บริษัท ไดกิ้น คอมเพรสเซอร์ อินดัสทรีส์ จำกัด,112100,,13910,,,,,
,,,,,IV5706012,บริษัท อินโดรามา ปิโตรเคม จำกัด,112100,,4119.5,,,,,
,,,,,IV5706019,บริษัท ไทยชินกง อินดัสตรี คอร์ปอเรชั่น จำกัด,112100,,11984,,,,,
,,,,,IV5706024,"GHECO-One Co., Ltd.",112100,,1391,,,,,
,,,,,IV5706032,บริษัท เจริญชัย เทรดดิ้ง เอ็นจิเนียริ่ง จำกัด,112100,,26450.4,,,,,
,,,,,IV5706033,Mettler-Toledo (Thailand) Ltd.,112100,,17351.12,,,,,
,,,,,IV5706034,Star Petroleum Refining Public Company Limited,112100,,7062,,,,,
,,,,,IV5706039,Star Petroleum Refining Public Company Limited,112100,,14659,,,,,
