id,ref,date,period_id,journal_id,line_id/name,line_id/partner_id,line_id/account_id,line_id/date_maturity,line_id/debit,line_id/credit,line_id/amount_currency,line_id/currency_id,line_id/account_tax_id,line_id/tax_amount
account_move_open_balance,AP Balance as of 30/6/2014,2014-06-30,06/2014,Opening Entries Journal,4055015,M&C TechGroup Germany GmbH,211200,2014-07-10,,46007.5,-1024.31,EUR,,
,,,,,4055299,M&C TechGroup Germany GmbH,211200,2014-07-10,,2768.6,-61.64,EUR,,
,,,,,4055337,M&C TechGroup Germany GmbH,211200,2014-07-10,,5659.81,-126.01,EUR,,
,,,,,4055745,M&C TechGroup Germany GmbH,211200,2014-07-29,,26173.67,-582.73,EUR,,
,,,,,4055746,M&C TechGroup Germany GmbH,211200,2014-07-29,,87237.77,-1942.26,EUR,,
,,,,,4055929,M&C TechGroup Germany GmbH,211200,2014-07-29,,5038.63,-112.18,EUR,,
,,,,,4056002,M&C TechGroup Germany GmbH,211200,2014-08-13,,55698.49,-1240.07,EUR,,
,,,,,4056003,M&C TechGroup Germany GmbH,211200,2014-08-13,,52411.56,-1166.89,EUR,,
,,,,,AP EUR B/F 30 Jun 2014_Temp A/C,,999999,,280996.03,,,,,
,,,,,40527,Headline Filters Ltd.,211200,2014-06-30,,18542.53,-335.86,GBP,,
,,,,,40573,Headline Filters Ltd.,211200,2014-07-06,,13243.01,-239.87,GBP,,
,,,,,40634,Headline Filters Ltd.,211200,2014-07-16,,11486.81,-208.06,GBP,,
,,,,,AP GBP B/F 30 Jun 2014_Temp A/C,,999999,,43272.35,,,,,
,,,,,CIS0001/0243143,บริษัท แสงชัยมิเตอร์ จำกัด,211100,2014-07-20,,7003.15,,,,
,,,,,INV14-0148,"Prochem (Thai) Co.,ltd.",211100,2014-08-05,,14875.14,,,,
,,,,,INV14-0149,"Prochem (Thai) Co.,ltd.",211100,2014-08-05,,16957.36,,,,
,,,,,SI14/00797,บริษัท ยู-ทอง จำกัด,211100,2014-07-20,,1380.3,,,,
,,,,,IV5706-00049,บริษัท ฟาโก เทคโนโลยี่ จำกัด,211100,2014-08-05,,5742.69,,,,
,,,,,PN57052,หจก. ประโยชน์นำดี,211100,2014-07-20,,10700,,,,
,,,,,PN57067,หจก. ประโยชน์นำดี,211100,2014-08-05,,11235,,,,
,,,,,40583,บริษัท ดับบลิว อาร์ แอนด์ ดับบลิว เอ็นจิเนียริ่ง จำกัด,211100,2014-07-20,,16692,,,,
,,,,,40725,บริษัท ดับบลิว อาร์ แอนด์ ดับบลิว เอ็นจิเนียริ่ง จำกัด,211100,2014-08-05,,4280,,,,
,,,,,40778,บริษัท ดับบลิว อาร์ แอนด์ ดับบลิว เอ็นจิเนียริ่ง จำกัด,211100,2014-08-05,,6420,,,,
,,,,,40842,บริษัท ดับบลิว อาร์ แอนด์ ดับบลิว เอ็นจิเนียริ่ง จำกัด,211100,2014-08-05,,2311.2,,,,
,,,,,57/2737,บริษัท สยามนาธานอินเตอร์เนชั่นแนล จำกัด,211100,2014-07-05,,20030.4,,,,
,,,,,57/3120,บริษัท สยามนาธานอินเตอร์เนชั่นแนล จำกัด,211100,2014-07-20,,2022.3,,,,
,,,,,57/3555,บริษัท สยามนาธานอินเตอร์เนชั่นแนล จำกัด,211100,2014-08-05,,2696.4,,,,
,,,,,INV5706-0004,บริษัท อมานี คอร์ปอเรชั่น จำกัด,211100,2014-07-20,,4119.5,,,,
