id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,Default Code,inventory_line_id/product_qty,inventory_line_id/product_uom/id,Remarks
stock_count_1july14,Stock Count 1 July 14,Stock,__export__.product_product_54154,350.1608,1,product.product_uom_unit,
,,Stock,__export__.product_product_54857,53364145,4,product.product_uom_unit,Does not exist in database
,,Stock,__export__.product_product_54603,7760056107,3,product.product_uom_unit,
,,Stock,__export__.product_product_54638,SS-4-HRN-2,2,product.product_uom_unit,
,,Stock,__export__.product_product_54178,#ZCGA0105EL001,11,product.product_uom_unit,
,,Stock,Product_00451,01P1000,1,product.product_uom_unit,
,,Stock,Product_00462,01P9140,1,product.product_uom_unit,
,,Stock,Product_00489,01V2004,5,product.product_uom_unit,
,,Stock,Product_00491,01V2006,1,product.product_uom_unit,
,,Stock,Product_00492,01V3000,1,product.product_uom_unit,
,,Stock,Product_00493,01V3050,5,product.product_uom_unit,
,,Stock,Product_00528,02F1000,1,product.product_uom_unit,
,,Stock,Product_00582,02K5010,1,product.product_uom_unit,
,,Stock,Product_00590,02K7500x,2,product.product_uom_unit,
,,Stock,Product_00598,02K9100,2,product.product_uom_unit,
,,Stock,Product_00638,02P3355,1,product.product_uom_unit,
,,Stock,Product_00639,02P3360,2,product.product_uom_unit,
,,Stock,Product_00773,03F2300,1,product.product_uom_unit,
,,Stock,Product_00774,03F3000,6,product.product_uom_unit,
,,Stock,Product_00810,03P1000,1,product.product_uom_unit,
,,Stock,Product_00865,05V1060,1,product.product_uom_unit,
,,Stock,Product_00867,05V1067,21,product.product_uom_unit,
,,Stock,Product_00886,05V2045,7,product.product_uom_unit,
,,Stock,Product_00911,05V3015,2,product.product_uom_unit,
,,Stock,Product_00933,05V3215,6,product.product_uom_unit,
,,Stock,Product_00939,05V3350,1,product.product_uom_unit,
,,Stock,Product_00941,05V3365,2,product.product_uom_unit,
,,Stock,Product_00951,05V4045,1,product.product_uom_unit,
,,Stock,Product_00954,05V4060,1,product.product_uom_unit,
,,Stock,Product_00961,05V4087,3,product.product_uom_unit,
,,Stock,Product_00975,05V5035,3,product.product_uom_unit,
,,Stock,Product_00982,05V6011,2,product.product_uom_unit,
,,Stock,Product_01044,09K4000,1,product.product_uom_unit,**(จริงกล่องหนึ่งมี 3 ชิ้น)
,,Stock,__export__.product_product_46619,12-57-50C,2,product.product_uom_box_10,
,,Stock,__export__.product_product_54597,20090303/3M 3001K-100,1,product.product_uom_unit,
,,Stock,Product_01125,20S4205,1,product.product_uom_unit,
,,Stock,Product_01153,20S5700,1,product.product_uom_unit,
,,Stock,Product_01157,20S9006,1,product.product_uom_unit,
,,Stock,Product_01159,20S9009,1,product.product_uom_unit,
,,Stock,Product_01161,20S9011,1,product.product_uom_unit,
,,Stock,Product_01272,20S9608,2,product.product_uom_unit,
,,Stock,Product_01283,20S9650,2,product.product_uom_unit,***เท่ากับ 1 กล่อง กล่องละ 10 ชิ้น
,,Stock,__export__.product_product_54596,6F-B8XJ2-SSP,2,product.product_uom_unit,Does not exist in database
,,Stock,__export__.product_product_54844,6SC6-316,3,product.product_uom_unit,
,,Stock,Product_01427,90F0002,7,product.product_uom_unit,
,,Stock,Product_01428,90f0003,1,product.product_uom_unit,
,,Stock,Product_01429,90F0004,5,product.product_uom_unit,
,,Stock,Product_01430,90f0005,1,product.product_uom_unit,
,,Stock,Product_01431,90F0006,1,product.product_uom_unit,
,,Stock,Product_01432,90F0007,1,product.product_uom_unit,
,,Stock,Product_01433,90F0008,1,product.product_uom_unit,
,,Stock,Product_01435,90F0010,1,product.product_uom_unit,
,,Stock,Product_01436,90f0011,2,product.product_uom_unit,
,,Stock,Product_01441,90F0016,1,product.product_uom_unit,
,,Stock,Product_01444,90F0020,1,product.product_uom_unit,
,,Stock,Product_01447,90F0025,20,product.product_uom_unit,
,,Stock,Product_01451,90F0035,2,product.product_uom_unit,
,,Stock,__export__.product_product_47117,90F0045,26,product.product_uom_unit,
,,Stock,Product_01510,90F0500,3,product.product_uom_unit,
,,Stock,Product_01511,90F0510,1,product.product_uom_unit,
,,Stock,Product_01512,90F0550,1,product.product_uom_unit,
,,Stock,Product_01516,90F2005,4,product.product_uom_unit,
,,Stock,Product_20875,90K5037,1,product.product_uom_unit,
,,Stock,Product_20879,90K5060,1,product.product_uom_unit,
,,Stock,Product_01632,90P1006,10,product.product_uom_unit,
,,Stock,Product_01633,90P1007,1,product.product_uom_unit,
,,Stock,Product_01635,90P1010,18,product.product_uom_set,
,,Stock,Product_01636,90P1020,17,product.product_uom_unit,
,,Stock,Product_01643,90P1105,2,product.product_uom_unit,
,,Stock,Product_01645,90P1110,4,product.product_uom_unit,
,,Stock,Product_01648,90P1113,4,product.product_uom_unit,
,,Stock,Product_01657,90P2111,2,product.product_uom_unit,
,,Stock,Product_01659,90P2120,2,product.product_uom_unit,
,,Stock,Product_01664,90P2211,32,product.product_uom_unit,
,,Stock,Product_01665,90P2220,8,product.product_uom_unit,
,,Stock,Product_01696,90S0015,8,product.product_uom_unit,
,,Stock,Product_01697,90S0020,4,product.product_uom_unit,
,,Stock,Product_01724,90S2084,1,product.product_uom_unit,
,,Stock,Product_01742,91F1010,15,product.product_uom_unit,
,,Stock,Product_01743,91F1015,48,product.product_uom_unit,
,,Stock,Product_01781,93K0045,1,product.product_uom_unit,
,,Stock,Product_01931,97K0100,2,product.product_uom_unit,
,,Stock,Product_21133,97K0250,2,product.product_uom_unit,
,,Stock,__export__.product_product_47274,AB1-AB8P35,12,product.product_uom_unit,
,,Stock,__export__.product_product_47272,AB1-AC6,7,product.product_uom_unit,
,,Stock,__export__.product_product_47273,AB1-AS6,15,product.product_uom_unit,
,,Stock,__export__.product_product_47279,AB1-TP435U,9,product.product_uom_unit,
,,Stock,__export__.product_product_47278,AB1-TP635U,7,product.product_uom_unit,
,,Stock,__export__.product_product_54610,B1VH-2T-SS,1,product.product_uom_unit,
,,Stock,__export__.product_product_54611,BR-CLMA-10M-8N,2,product.product_uom_unit,Does not exist in database
,,Stock,__export__.product_product_54845,BR-CMC-6M-2N,1,product.product_uom_unit,
,,Stock,__export__.product_product_54604,DR224482,1,product.product_uom_unit,
,,Stock,__export__.product_product_54602,DRM570730L,3,product.product_uom_unit,
,,Stock,__export__.product_product_54177,GAD40-10A,2,product.product_uom_unit,
,,Stock,Product_21500,KD0009,4,product.product_uom_unit,
,,Stock,__export__.product_product_47250,MTR-1001,1,product.product_uom_unit,
,,Stock,__export__.product_product_54462,NV2H-4T-SS,1,product.product_uom_unit,Does not exist in database
,,Stock,__export__.product_product_54846,P2VF-8N-SS,2,product.product_uom_unit,
,,Stock,__export__.product_product_47054,PR1-1A11A3E111,1,product.product_uom_unit,
,,Stock,__export__.product_product_54606,PUR-TX-PRM-STD-120-DIGS,1,product.product_uom_unit,
,,Stock,__export__.product_product_54494,PWRS-1003,3,product.product_uom_unit,
,,Stock,__export__.product_product_54592,RP1A23D5,4,product.product_uom_unit,
,,Stock,__export__.product_product_54593,RT424730,5,product.product_uom_unit,
,,Stock,__export__.product_product_54601,SGC-50(T),5,product.product_uom_set,
,,Stock,__export__.product_product_54847,SS-12-RB-8,1,product.product_uom_unit,
,,Stock,__export__.product_product_47002,SS-200-SET,9,product.product_uom_unit,
