id,Internal Reference,Supplier / Supplier,Name,Brand,Model,description,Category,Unit of Measure,Can be Sold,Can be Purchased,Product Type,Procurement Method,Supply Method,Supplier / Supplier Pricelist / Unit Price,Supplier / Supplier Pricelist / Quantity,Supplier / Delivery Lead Time,seller_ids/min_qty
Product_00235,01A1000,M&C TechGroup Germany GmbH,PMA10 230V,M&C,PMA,"Portable oxygen analyser type PMA 10. With combinated analog/digital display in a portable housing. Signal output: 0-1V. Measuring ranges: 0-3/10/30/100 Vol%O2, including flowmeter with needle valve: 7-70l/h. Power: 230V/50Hz.",Analyzer For Gas,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,5815,1,30,1
Product_00236,01A1000A,M&C TechGroup Germany GmbH,PMA10 115V,M&C,PMA,"Portable oxygen analyser type PMA 10. With combinated analog/digital display in a portable housing. Signal output: 0-1V. Measuring ranges: 0-3/10/30/100 Vol%O2, including flowmeter with needle valve: 7-70l/h. Power: 115V/60Hz.",Analyzer For Gas,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,5815,1,30,1
Product_00237,01A9000,M&C TechGroup Germany GmbH,PMA10 4-20 mA MP,M&C,PMA,Extra charge for signal output 4-20mA incorporated in the analyser PMA 10/10S (0-20mA on request).,Other Service,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,369,1,30,1
Product_00238,01A9050,M&C TechGroup Germany GmbH,PMA10 Akku MP,M&C,PMA,"Extra charge for PMA 10 with battery operation, battery charger incorporated in analyser.",Other Service,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,282,1,30,1
Product_00239,01A9102,M&C TechGroup Germany GmbH,PMA10 Pumpe  NEU 05/05  MP,M&C,PMA,Extra charge for gas sample pump incorporated in analyser type PMA 10. Capacity: 1 Nl/min without pressure.,Other Service,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,451,1,30,1
Product_00240,01A9150,M&C TechGroup Germany GmbH,PMA10 Alarmkontakt MP,M&C,PMA,"Extra charge for alarm contact at analyser type PMA 10, adjustable from 0-100%O2. Potential-free changeover contact with plug at the rear of the housing.",Other Service,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,355,1,30,1
Product_00241,01A9156,M&C TechGroup Germany GmbH,PMA10 akus.Alarm/man.-Reset MP,M&C,PMA,Extra charge for PMA 10 with Piezo acoustic alarm and manual reset (30 sec) (only in combination with alarm 01A9150).,Other Service,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,222,1,30,1
Product_00242,01A9160,M&C TechGroup Germany GmbH,PMA10 TA-Luft  MP,M&C,PMA,Extra charge for qualification test according to TA-Luft + EN 14181 resp. 13. and 17. BImSchV of analyser type PMA 10. Incl. signal output: 4-20mA (0-20mA on request),Other Service,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,837,1,30,1
Product_00243,01B4034,M&C TechGroup Germany GmbH,PSP 4M4/6 Anschluss Typ I,M&C,PSP,"Connection type I for heated sample line type PSP 4M4/6. 1,5m connection cable with 7-pin plug, incl. 3 extra leads as power supply for the probe.",Accessory,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,400,1,30,1
Product_00244,01B4034W,M&C TechGroup Germany GmbH,PSP 4M4/6-W  Anschluss Typ I,M&C,PSP,"Connection type I for heated sample line type PSP4M4/6-W. 1,5m connection cable with 7-pin plug, incl. 3 extra leads as power supply for the probe.",Accessory,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,400,1,30,1
Product_00245,01B4036,M&C TechGroup Germany GmbH,PSP 4M4/6,M&C,PSP,Heated sample line type PSP 4M4/6 PTFE-tube DN 4/6mm interchangeable. With special SS-tube piece adapted to probe. Max. temperature: 200°C. 230V/50Hz. Price per meter.,Accessory,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,228,1,30,1
Product_00246,01B4036W,M&C TechGroup Germany GmbH,PSP 4M4/6-W,M&C,PSP,"Heated sample line type PSP4M4/6-W, PTFE-tube DN 4/6mm interchangeable. With special SS-tube piece adapted to probe. Coated by corrugated tube Max. temperature: 200°C. 230V/50Hz. Price per meter.",Accessory,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,228,1,30,1
Product_00247,01B4037,M&C TechGroup Germany GmbH,PSP 4M4/6 Abschluss Typ K,M&C,PSP,"End-fitting type K for heated sample line type PSP 4M4/6. With tube piece. 0,5m connection cable to the end, with 7-pin plug.",Accessory,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,304,1,30,1
Product_00248,01B4037W,M&C TechGroup Germany GmbH,PSP 4M4/6-W  Abschluss Typ K,M&C,PSP,"End-fitting type K for heated sample line type PSP4M4/6-W. With tube piece. 0,5m connection cable to the end, with 7-pin plug.",Accessory,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,304,1,30,1
Product_00249,01B6300,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/5-4,M&C,,"Self-regulated heated sample line type 3/5-4 with PTFE-tube DN4/6 and corrugated tube outside. Power consumption: 11,5W/m at +10°C. Holding temperature: +5°C at ambient -20°C. Price per meter.",Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,110,1,30,1
Product_00250,01B6300Ex,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/5-4Ex,M&C,,"Self-regulated heated sample line type 3/5-4Ex. Explosion-proofed version for Ex-Zone 1 with protection class according to  ATEX: II 2 G Ex e II T6 / II 2D tD A21 IP65 TX Inner tube: DN4/6 PTFE non-interchangeable, outer shell: PA-corrugated hose. Power: 230V/50Hz. Power consumption: 10W/m at +10°C. holding temperature: +5°C at ambient -20°C. Price per meter.",Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,112,1,30,1
Product_00251,01B6305,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/30-4,M&C,,Self-regulated heated sample line type 3/30-4 with PTFE-tube DN4/6 and corrugated tube outside. Power consumption: 32W/m at +10°C. Holding temperature: +30°C at ambient -20°C. Price per meter.,Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,115,1,30,1
Product_00252,01B6305Ex,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/30-4Ex,M&C,,"Self-regulated heated sample line type 3/30-4Ex. Explosion-proofed version for Ex-Zone 1 with protection class according to  ATEX: II 2 G Ex e II T6 / II 2D tD A21 IP65 TX Inner tube: DN4/6 PTFE non-interchangeable, outer shell: PA-corrugated hose. Power: 230V/50Hz. Power consumption: 30W/m at +10°C. Holding temperature: +30°C at ambient -20°C. Price per meter.",Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,117,1,30,1
Product_00253,01B6310,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/50-4,M&C,,Self-regulated heated sample line type 3/50-4 with PTFE-tube DN4/6 and corrugated tube outside. Power consumption: 38W/m at +10°C. Holding temperature: +50°C at ambient -20°C. Price per meter.,Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,167,1,30,1
Product_00254,01B6310Ex,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/50-4Ex,M&C,,"Self-regulated heated sample line type 3/50-4Ex. Explosion-proofed version for Ex-Zone 1 with protection class according to  ATEX: II 2 G Ex e II T3 / II 2D tD A21 IP65 TX Inner tube: DN4/6 PTFE non-interchangeable, outer shell: PA-corrugated hose. Power: 230V/50Hz. Power consumption: 36W/m at +10°C. Holding temp.: +50°C at ambient -20°C. Price per meter.",Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,168,1,30,1
Product_00255,01B6315,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/80-4,M&C,,Self-regulated heated sample line type 3/80-4 with PTFE-tube DN4/6 and corrugated tube outside. Power consumption: 47W/m at +10°C. Holding temperature: +80°C at ambient -20°C. Price per meter.,Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,172,1,30,1
Product_00256,01B6315Ex,M&C TechGroup Germany GmbH,Selbstreg. Ltg. 3/80-4Ex,M&C,,"Self-regulated heated sample line type 3/80-4Ex. Explosion-proofed version for Ex-Zone 1 with protection class according to  ATEX: II 2 G Ex e II T3 / II 2D tD A21 IP65 TX Inner tube: DN4/6 PTFE non-interchangeable, outer shell: PA-corrugated hose. Power: 230V/50Hz. Power consumption: 45W/m at +10°C. Holding temperature: +80°C at ambient -20°C. Price per meter.",Heated line,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,174,1,30,1
