id,Internal Reference,Supplier / Supplier,Name,Brand,Model,description,categ_id/id,Unit of Measure,Can be Sold,Can be Purchased,Product Type,Procurement Method,Supply Method,Supplier / Supplier Pricelist / Unit Price,Supplier / Supplier Pricelist / Quantity,Supplier / Delivery Lead Time,seller_ids/min_qty
Product_20000,01A1002,M&C TechGroup Germany GmbH,PMA10    Lösungsmittel    230V,M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,7454,1,30,1
Product_20001,01A1003,M&C TechGroup Germany GmbH,PMA10    Chlor            230V,M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,7593,1,30,1
Product_20002,01A2000,M&C TechGroup Germany GmbH,"Portable O2-analyser type PMA10S, 230VAC.",M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,8525,1,30,1
Product_20003,01A3000,M&C TechGroup Germany GmbH,"Portable O2-analyser type PMA 15, 230VAC.",M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,7748,1,30,1
Product_20004,01A3100,M&C TechGroup Germany GmbH,"Portable O2-analyser type PMA 15V, 230VAC.",M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,7748,1,30,1
Product_20005,01A6000,M&C TechGroup Germany GmbH,"O2-analyser type PMA 12, 230VAC.",M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,6139,1,30,1
Product_20006,01A6000A,M&C TechGroup Germany GmbH,"O2-analyser type PMA 12, 115VAC.",M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,6139,1,30,1
Product_20007,01A9010,M&C TechGroup Germany GmbH,Signal output 0/4-20mA isolated for PMA 12/22/25,M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,618,1,30,1
Product_20008,01A9100,M&C TechGroup Germany GmbH,Gas sample pump incorporated in PMA 10.,M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,451,1,30,1
Product_20009,01A9165,M&C TechGroup Germany GmbH,"Measuring range to 2,5,5,10,25/100Vol%O2.",M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,156,1,30,1
Product_20010,01A9200,M&C TechGroup Germany GmbH,"Vacuum pump for PMA15-V, 230VAC.",M&C,,,Analyzer_Gas_Oxygen,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,1331,1,30,1
Product_20011,01B4034W,M&C TechGroup Germany GmbH,Connection type I for sample line PSP4M4/6-W.,M&C,,,Gas_Sampling_Gas_Sampling_Probe,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,400,1,30,1
