id,name,parent_id/id,type,Product Type,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
Analyzer,Analyzer,product.product_category_all,View,,4 รายได้,5 ค่าใช้จ่าย,,,
Analyzer_Gas,Gas,Analyzer,View,,4 รายได้,5 ค่าใช้จ่าย,,,
Analyzer_Gas_Oxygen,Oxygen,Analyzer_Gas,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Analyzer_Gas_Dewpoint,Dewpoint,Analyzer_Gas,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Analyzer_Liquid,Liquid,Analyzer,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Analyzer_Spare_part,Spare part,Analyzer,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Bolt_Nut_Screw_etc,Bolt Nut Screw etc,product.product_category_all,Normal,Service,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Burner_Air_Conditioning_unit,Burner Air Conditioning unit,product.product_category_all,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Cabinet,Cabinet,product.product_category_all,View,,4 รายได้,5 ค่าใช้จ่าย,,,
Cabinet_Industrial,Industrial,Cabinet,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Calibration,Calibration,product.product_category_all,View,,4 รายได้,5 ค่าใช้จ่าย,,,
Calibration_Oxygen,Oxygen,Calibration,Normal,Service,420000 รายได้จากการให้บริการ,511000 ซื้อสินค้า,,,
Calibration_Dewpoint,Dewpoint,Calibration,Normal,Service,420000 รายได้จากการให้บริการ,511000 ซื้อสินค้า,,,
Calibration_Temperature_control,Temperature control,Calibration,Normal,Service,420000 รายได้จากการให้บริการ,511000 ซื้อสินค้า,,,
Calibration_Humidity,Humidity,Calibration,Normal,Service,420000 รายได้จากการให้บริการ,511000 ซื้อสินค้า,,,
Compact_gas_conditioning,Compact gas conditioning,product.product_category_all,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Admin_Expenses,Admin Expenses,product.product_category_all,Normal,Service,5 ค่าใช้จ่าย,5 ค่าใช้จ่าย,,,
Consume_for_Engineering,Consume for Engineering,product.product_category_all,Normal,Service,513000 ต้นทุนสินค้า(วัสดุอุปกรณ์และคชจ.อื่นในงานสั่งทำเสร็จสิ้น),513000 ต้นทุนสินค้า(วัสดุอุปกรณ์และคชจ.อื่นในงานสั่งทำเสร็จสิ้น),,,
Cooler,Cooler,product.product_category_all,View,,4 รายได้,5 ค่าใช้จ่าย,,,
Cooler_Pre-seperators_Pre_Cooler_Water_Cooler,"Pre-seperators, Pre Cooler, Water Cooler",Cooler,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Cooler_Cooler_Compressor,Cooler Compressor,Cooler,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Cooler_Cooler_Peltier,Cooler Peltier,Cooler,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Cooler_Cooler_Vertex,Cooler Vertex,Cooler,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
Cooler_Condensate_removal,Condensate removal,Cooler,Normal,Stockable Product,410000 รายได้จากการขาย,511000 ซื้อสินค้า,,,
