"id","name","model_access/active","model_access/perm_create","model_access/perm_unlink","model_access/name","model_access/model_id/id","model_access/perm_read","model_access/perm_write"
"commission_calc.group_commission_user","User","True","True","True","Commission Worksheet User","commission_calc.model_commission_worksheet","True","True"
,,"True","True","True","Commission Worksheet Line User","commission_calc.model_commission_worksheet_line","True","True"
,,"True","False","False","Sale Team User","commission_calc.model_sale_team","True","False"
"purchase.group_purchase_user","User","True","True","True","account.asset.asset","account_asset.model_account_asset_asset","True","True"
"commission_calc.group_commission_user","User","True","True","True","Commission Worksheet User","commission_calc.model_commission_worksheet","True","True"
,,"True","True","True","Commission Worksheet Line User","commission_calc.model_commission_worksheet_line","True","True"
,,"True","False","False","Sale Team User","commission_calc.model_sale_team","True","False"
"sale_prequotation.group_calculation_sheet_user","Sales","True","True","True","Calculation Labour Sale","sale_prequotation.model_sale_prequotation_labour","True","True"
,,"True","True","True","Calculation Material Sale","sale_prequotation.model_sale_prequotation_product","True","True"
,,"True","True","True","Sales PreQuotation Sale","sale_prequotation.model_sale_prequotation","True","True"
,,"True","True","True","Profit Master Sale","sale_prequotation.model_sale_profit_margin","True","True"
,,"True","False","False","Margin Master Sale","sale_prequotation.model_sale_margin_master","True","False"
"commission_calc.group_commission_Account","Accounting","True","True","True","Commission Worksheet Line Accounting","commission_calc.model_commission_worksheet_line","True","True"
,,"True","True","True","Commission Worksheet Accounting","commission_calc.model_commission_worksheet","True","True"
,,"True","False","False","Sales Team Accounting","commission_calc.model_sale_team","True","False"
"commission_calc.group_commission_manager","Manager","True","True","True","Sales Team Manager","commission_calc.model_sale_team","True","True"
,,"True","True","True","Commission Worksheet Line Manager","commission_calc.model_commission_worksheet_line","True","True"
,,"True","True","True","Commission Worksheet Manager","commission_calc.model_commission_worksheet","True","True"
"purchase_requisition.group_purchase_requisition_user","User","True","False","False","purchase_requisition.purchase_line_user","purchase.model_purchase_order_line","True","False"
,,"True","False","False","purchase_requisition.purchase_user","account_thai_wht.model_purchase_order","True","False"
"sale_prequotation.group_sale_engineer","Engineer","True","False","True","Sale Order Engineer","account_thai_wht.model_sale_order","True","False"
,,"True","False","True","Sale Order Line Engineer","sale.model_sale_order_line","True","False"
,,"True","True","True","Calculation Material Engineer","sale_prequotation.model_sale_prequotation_product","True","True"
,,"True","True","True","Calculation Labour Engineer","sale_prequotation.model_sale_prequotation_labour","True","True"
,,"True","True","True","Sale PreQuotation Engineer","sale_prequotation.model_sale_prequotation","True","True"
,,"True","False","False","Margin Master Engineer","sale_prequotation.model_sale_margin_master","True","False"
,,"True","True","True","Margin PreQuotation Engineer","sale_prequotation.model_sale_profit_margin","True","True"
,,"True","False","True","Sale Order Engineer","account_thai_wht.model_sale_order","True","False"
,,"True","False","True","Sale Order Line Engineer","sale.model_sale_order_line","True","False"
,,"True","True","True","Calculation Material Engineer","sale_prequotation.model_sale_prequotation_product","True","True"
,,"True","True","True","Calculation Labour Engineer","sale_prequotation.model_sale_prequotation_labour","True","True"
,,"True","True","True","Sale PreQuotation Engineer","sale_prequotation.model_sale_prequotation","True","True"
,,"True","False","False","Margin Master Engineer","sale_prequotation.model_sale_margin_master","True","False"
,,"True","True","True","Margin PreQuotation Engineer","sale_prequotation.model_sale_profit_margin","True","True"
