"id","name","model_access/active","model_access/perm_create","model_access/perm_unlink","model_access/name","model_access/model_id/id","model_access/perm_read","model_access/perm_write"
"sale_prequotation.group_sale_engineer","Engineer","True","False","True","Sale Order Engineer","account_thai_wht.model_sale_order","True","False"
,,"True","False","True","Sale Order Line Engineer","sale.model_sale_order_line","True","False"
,,"True","True","True","Calculation Material Engineer","sale_prequotation.model_sale_prequotation_product","True","True"
,,"True","True","True","Calculation Labour Engineer","sale_prequotation.model_sale_prequotation_labour","True","True"
,,"True","True","True","Sale PreQuotation Engineer","sale_prequotation.model_sale_prequotation","True","True"
,,"True","False","False","Margin Master Engineer","sale_prequotation.model_sale_margin_master","True","False"
,,"True","True","True","Margin PreQuotation Engineer","sale_prequotation.model_sale_profit_margin","True","True"
,,"True","False","True","Sale Order Engineer","account_thai_wht.model_sale_order","True","False"
,,"True","False","True","Sale Order Line Engineer","sale.model_sale_order_line","True","False"
,,"True","True","True","Calculation Material Engineer","sale_prequotation.model_sale_prequotation_product","True","True"
,,"True","True","True","Calculation Labour Engineer","sale_prequotation.model_sale_prequotation_labour","True","True"
,,"True","True","True","Sale PreQuotation Engineer","sale_prequotation.model_sale_prequotation","True","True"
,,"True","False","False","Margin Master Engineer","sale_prequotation.model_sale_margin_master","True","False"
,,"True","True","True","Margin PreQuotation Engineer","sale_prequotation.model_sale_profit_margin","True","True"
