"id","name","default_code","brand","model","spec","categ_id","sale_ok","purchase_ok","type","procure_method","supply_method","cost_method","uom_id","uom_po_id","Real Time (automated)","standard_price","list_price","taxes_id","supplier_taxes_id","produce_delay","sale_delay","description_purchase"
"Product_n_1","Gas Detector","AFC-0001","AFC","G200","0-1000 ppm","Indicator & Controller","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,30,
"Product_n_2","Check valve for Pump P2.2","BU-000001","Buhler","P2.2",,"Spare Part","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",45,45,
"Product_n_3","Diaphragm Vacuum Pump","KNF-0005","KNF","N814KTE","230V/50Hz IP00","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,45,
"Product_n_4","Ball valve (Series6C)","EM-00003","EM-Technic","6C742F0414PVFP51",,"Fitting","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",3417.4,,"Output VAT","Input VAT",44,45,
"Product_n_5","GL Connector (Series 3G)","EM-00004","EM-Technic","3G110FF4314PVFP",,"Fitting","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",476.7,,"Output VAT","Input VAT",45,45,
"Product_n_6","SS Filter Housing 137G","HF-0003","HF","137G",,"Filter Housing","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,,"Output VAT","Input VAT",30,30,
"Product_n_7","Filter element (3/pack) :","HF-0016","HF","12-32-50C","Pack of 3","Filter Element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,,"Output VAT","Input VAT",30,30,
"Product_n_8","Viton Gasket Sets","HF-2000","HF","GV127",,"Gasket","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",413,,"Output VAT","Input VAT",30,30,
"Product_n_9","FID Sample screw connection : 0125-3","TES-00002","Testa",,,"Fitting","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,,
"Product_n_10","Oxygen sensor","AII-0001","AII","PSR-11-21",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_11","Oxygen sensor","AII-0002","AII","PSR-12-223",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_12","Oxygen senser","AII-0003","AII","GPR-12-100M",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_13","Oxygen sensor","AII-0004","AII","GPR-12-333",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_14","PPM Oxygen sensor","AII-0005","AII","XLT-12-123",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_15","Oxygen sensor P/N :","AII-0006","AII","PSR-12-23",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_16","PPM Oxygen sensor","AII-0007","AII","XLT-12-333",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_17","Battery Assembly GP :","AII-0008","AII","A-1163",,"Battery","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_18","Housing Upper Assembly Sensor SS Molex","AII-0009","AII","RBGW",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",45,15,
"Product_n_19","PCB Assembly, Interconnection (2600) :","AII-0010","AII","A-1147-E-40",,"PCB","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_20","Oxygen sensor :","AII-0011","AII","XLT-11-24",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_21","Oxygen sensor :","AII-0012","AII","GPR-11-32-4",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_22","Oxygen sensor :","AII-0013","AII","XLT-11-24-4",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_23","Scrubber assembly, H2S 1.5""x12"" :","AII-0014","AII","B-2734-12",,"Indicator & Controller","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_24","Oxygen sensor :","AII-0015","AII","PSR-11-23",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_25","Oxygen sensor :","AII-0016","AII","XLT-11-15",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_26","Oxygen sensor :","AII-0017","AII","XLT-11-1513",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
"Product_n_27","Oxygen sensor :","AII-0018","AII","PSR-12-223 L2",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",,,"Output VAT","Input VAT",30,15,
