"id","name","parent_id","type","property_account_income_categ","property_account_expense_categ","property_stock_account_input_categ","property_stock_account_output_categ","property_stock_valuation_account_id"
"prodcuct_categ_Accessory","Accessory","All products","Normal",,,,,
"prodcuct_categ_Analyzer For Gas","Analyzer For Gas","All products","Normal",,,,,
"prodcuct_categ_Analyzer For Liquid","Analyzer For Liquid","All products","Normal",,,,,
"prodcuct_categ_Battery","Battery","All products","Normal",,,,,
"prodcuct_categ_Bolt, Nut, Screw,","Bolt, Nut, Screw,","All products","Normal",,,,,
"prodcuct_categ_Calibration","Calibration","All products","Normal",,,,,
"prodcuct_categ_Condensate Regulated","Condensate Regulated","All products","Normal",,,,,
"prodcuct_categ_Consultance","Consultance","All products","Normal",,,,,
"prodcuct_categ_Cooler - Peltier","Cooler - Peltier","All products","Normal",,,,,
"prodcuct_categ_Cooler - Compressor","Cooler - Compressor","All products","Normal",,,,,
"prodcuct_categ_Cooler - Vortex","Cooler - Vortex","All products","Normal",,,,,
"prodcuct_categ_Delivery","Delivery","All products","Normal",,,,,
"prodcuct_categ_Diaphragm","Diaphragm","All products","Normal",,,,,
"prodcuct_categ_Electrode","Electrode","All products","Normal",,,,,
"prodcuct_categ_Electronic & Electric Shop","Electronic & Electric Shop","All products","Normal",,,,,
"prodcuct_categ_Engineering","Engineering","All products","Normal",,,,,
"prodcuct_categ_Filter Element","Filter Element","All products","Normal",,,,,
"prodcuct_categ_Filter Housing","Filter Housing","All products","Normal",,,,,
"prodcuct_categ_Fitting","Fitting","All products","Normal",,,,,
"prodcuct_categ_Fuse","Fuse","All products","Normal",,,,,
"prodcuct_categ_Gas Sample Probe","Gas Sample Probe","All products","Normal",,,,,
"prodcuct_categ_Heat Exchanger","Heat Exchanger","All products","Normal",,,,,
"prodcuct_categ_Heated line","Heated line","All products","Normal",,,,,
"prodcuct_categ_IC","IC","All products","Normal",,,,,
"prodcuct_categ_Indicator & Controller","Indicator & Controller","All products","Normal",,,,,
"prodcuct_categ_Labor","Labor","All products","Normal",,,,,
"prodcuct_categ_Labware","Labware","All products","Normal",,,,,
"prodcuct_categ_Machine shop","Machine shop","All products","Normal",,,,,
"prodcuct_categ_Manufacturing Supplies","Manufacturing Supplies","All products","Normal",,,,,
"prodcuct_categ_Office Supplies","Office Supplies","All products","Normal",,,,,
"prodcuct_categ_O-Ring","O-Ring","All products","Normal",,,,,
"prodcuct_categ_Other Equipment","Other Equipment","All products","Normal",,,,,
"prodcuct_categ_Other Service","Other Service","All products","Normal",,,,,
"prodcuct_categ_Other spare part","Other spare part","All products","Normal",,,,,
"prodcuct_categ_PCB","PCB","All products","Normal",,,,,
"prodcuct_categ_Peltier Element","Peltier Element","All products","Normal",,,,,
"prodcuct_categ_Pump-Bellow","Pump-Bellow","All products","Normal",,,,,
"prodcuct_categ_Pump-Diaphragm","Pump-Diaphragm","All products","Normal",,,,,
"prodcuct_categ_Pump-Peristaltic","Pump-Peristaltic","All products","Normal",,,,,
"prodcuct_categ_Recorder & Data Logger","Recorder & Data Logger","All products","Normal",,,,,
"prodcuct_categ_Renting","Renting","All products","Normal",,,,,
"prodcuct_categ_Repair Kits","Repair Kits","All products","Normal",,,,,
"prodcuct_categ_Repairing","Repairing","All products","Normal",,,,,
"prodcuct_categ_Safety","Safety","All products","Normal",,,,,
"prodcuct_categ_Seal, Gasket, O-Ring","Seal, Gasket, O-Ring","All products","Normal",,,,,
"prodcuct_categ_Sensor","Sensor","All products","Normal",,,,,
"prodcuct_categ_Sensor element","Sensor element","All products","Normal",,,,,
"prodcuct_categ_Switch","Switch","All products","Normal",,,,,
"prodcuct_categ_Transmitter","Transmitter","All products","Normal",,,,,
"prodcuct_categ_Trap/Scrabbler","Trap/Scrabbler","All products","Normal",,,,,
"prodcuct_categ_Tube/Pipe","Tube/Pipe","All products","Normal",,,,,
"prodcuct_categ_Valve, Regulator","Valve, Regulator","All products","Normal",,,,,
"prodcuct_categ_Valve plate","Valve plate","All products","Normal",,,,,
"prodcuct_categ_Expenses","Expenses","All products","Normal",,,,,
"prodcuct_categ_Unknown","Unknown","All products","Normal",,,,,
