"id","name","parent_id","type","property_account_income_categ","property_account_expense_categ","property_stock_account_input_categ","property_stock_account_output_categ","property_stock_valuation_account_id"
"product.product_category_all","All products",,"View",,,,,
"product_categ_Supplies","Supplies","All products","View",,,,,
"product_categ_Service","Service","All products","View",,,,,
"product_categ_Finished_Goods","Finished Goods","All products","View",,,,,
"product_categ_Equipment","Equipment","Finished Goods","View",,,,,
"product_categ_Instrument-Analyzer","Instrument-Analyzer","Finished Goods","View",,,,,
"product_categ_Spare_Part","Spare Part","Finished Goods","View",,,,,
"product_categ_Office_Supplies","Office Supplies","Supplies","Normal",,,,,
"product_categ_Manufacturing_Supplies","Manufacturing Supplies","Supplies","Normal",,,,,
"product_categ_Calibration","Calibration","Service","Normal",,,,,
"product_categ_Renting","Renting","Service","Normal",,,,,
"product_categ_Repairing","Repairing","Service","Normal",,,,,
"product_categ_Delivery","Delivery","Service","Normal",,,,,
"product_categ_Consultance","Consultance","Service","Normal",,,,,
"product_categ_Engineering","Engineering","Service","Normal",,,,,
"product_categ_Labor","Labor","Service","Normal",,,,,
"product_categ_Safety","Safety","Service","Normal",,,,,
"product_categ_Other_Service","Other Service","Service","Normal",,,,,
"product_categ_Cooler_-_Peltier","Cooler - Peltier","Equipment","Normal",,,,,
"product_categ_Cooler_-_Compressor","Cooler - Compressor","Equipment","Normal",,,,,
"product_categ_Cooler_-_Vortex","Cooler - Vortex","Equipment","Normal",,,,,
"product_categ_Gas_Sample_Probe-_Non_Heated","Gas Sample Probe- Non Heated","Equipment","Normal",,,,,
"product_categ_Gas_Sample_Probe-Heated_(Self_Regulated)","Gas Sample Probe-Heated (Self Regulated)","Equipment","Normal",,,,,
"product_categ_Gas_Sample_Probe-Heated_(Regulated)","Gas Sample Probe-Heated (Regulated)","Equipment","Normal",,,,,
"product_categ_Gas_Sample_Probe-Heated_(Ex-proof)","Gas Sample Probe-Heated (Ex-proof)","Equipment","Normal",,,,,
"product_categ_Heated_Line-Self_Regulated","Heated Line-Self Regulated","Equipment","Normal",,,,,
"product_categ_Heated_Line-Regulated","Heated Line-Regulated","Equipment","Normal",,,,,
"product_categ_Condensate_Regulated_(Seperator)","Condensate Regulated (Seperator)","Equipment","Normal",,,,,
"product_categ_Condensate_Regulated_(Collector)","Condensate Regulated (Collector)","Equipment","Normal",,,,,
"product_categ_Filter_Set","Filter Set","Equipment","Normal",,,,,
"product_categ_Filter_Element_Equipment","Filter Element (Equipment)","Equipment","Normal",,,,,
"product_categ_Filter_Housing_Equipment","Filter Housing (Equipment)","Equipment","Normal",,,,,
"product_categ_Pump-Diaphragm","Pump-Diaphragm","Equipment","Normal",,,,,
"product_categ_Pump-Peristaltic","Pump-Peristaltic","Equipment","Normal",,,,,
"product_categ_Pump-Bellow","Pump-Bellow","Equipment","Normal",,,,,
"product_categ_Labware","Labware","Equipment","Normal",,,,,
"product_categ_Valve,_Regulator","Valve, Regulator","Equipment","Normal",,,,,
"product_categ_Machine_shop","Machine shop","Equipment","Normal",,,,,
"product_categ_Electronic_&_Electric_Shop","Electronic & Electric Shop","Equipment","Normal",,,,,
"product_categ_Other_Equipment","Other Equipment","Equipment","Normal",,,,,
"product_categ_Analyzer_For_Liquid","Analyzer For Liquid","Instrument-Analyzer","Normal",,,,,
"product_categ_Analyzer_For_Gas","Analyzer For Gas","Instrument-Analyzer","Normal",,,,,
"product_categ_Sensor","Sensor","Instrument-Analyzer","Normal",,,,,
"product_categ_Transmitter","Transmitter","Instrument-Analyzer","Normal",,,,,
"product_categ_Indicator_&_Controller","Indicator & Controller","Instrument-Analyzer","Normal",,,,,
"product_categ_Recorder_&_Data_Logger","Recorder & Data Logger","Instrument-Analyzer","Normal",,,,,
