"id","supplier/supplier/id","seller_ids/product_code","supplier/min_qty","seller_ids/pricelist_ids/price","seller_ids/pricelist_ids/min_quantity"
"Product_n_1","res_partner_supplier_n_44","G200-00N",1,3150,1
"Product_n_2","res_partner_supplier_n_1",,1,1200,1
"Product_n_3","res_partner_supplier_n_3",,1,201.188,1
"Product_n_4","res_partner_supplier_n_8",,1,62.5875,1
"Product_n_5","res_partner_supplier_n_8",,1,8.73,1
"Product_n_6","res_partner_supplier_n_7","137G",1,160.3,1
"Product_n_7","res_partner_supplier_n_7",,1,33.6,1
"Product_n_8","res_partner_supplier_n_7",,1,6.3,1
"Product_n_9","res_partner_supplier_n_5",,1,125,1
"Product_n_10","res_partner_supplier_n_43","PSR-11-21",1,80,1
"Product_n_11","res_partner_supplier_n_43","PSR-12-223",1,567,1
"Product_n_12","res_partner_supplier_n_43","GPR-12-100M",1,20,1
"Product_n_13","res_partner_supplier_n_43","GPR-12-333",1,594,1
"Product_n_14","res_partner_supplier_n_43","XLT-12-123",1,135,1
"Product_n_15","res_partner_supplier_n_43","PSR-12-23",1,,1
"Product_n_16","res_partner_supplier_n_43","XLT-12-333",1,220,1
"Product_n_17","res_partner_supplier_n_43","A-1163",1,,1
"Product_n_18","res_partner_supplier_n_43","RBGW",1,15011,1
"Product_n_19","res_partner_supplier_n_43","A-1147-E-40",1,800,1
"Product_n_20","res_partner_supplier_n_43","XLT-11-24",1,220,1
"Product_n_21","res_partner_supplier_n_43","GPR-11-32-4",1,795,1
"Product_n_22","res_partner_supplier_n_43","XLT-11-24-4",1,220,1
"Product_n_23","res_partner_supplier_n_43","B-2734-12",1,300,1
"Product_n_24","res_partner_supplier_n_43","PSR-11-23",1,80,1
"Product_n_25","res_partner_supplier_n_43","XLT-11-15",1,110,1
"Product_n_26","res_partner_supplier_n_43","XLT-11-1513",1,120,1
"Product_n_27","res_partner_supplier_n_43","PSR-12-223 L2",1,160,1
"Product_n_28","res_partner_supplier_n_43","GPR-11-60-4",1,375,1
"Product_n_29","res_partner_supplier_n_43","A-1161-B-GP-1 RevC3",1,1600,1
"Product_n_30","res_partner_supplier_n_43","GPR-1200",1,4400,1
"Product_n_31","res_partner_supplier_n_43","GPR-3500 MO",1,2900,1
"Product_n_32","res_partner_supplier_n_43","GPR-1600",1,4800,1
"Product_n_33","res_partner_supplier_n_43","GPR-3100",1,4900,1
"Product_n_34","res_partner_supplier_n_43","GPR-2800 AIS ATEX",1,4500,1
"Product_n_35","res_partner_supplier_n_43","GPR-1900",1,3450,1
"Product_n_36","res_partner_supplier_n_43","GPR-1500",1,2100,1
"Product_n_37","res_partner_supplier_n_43","GPR-1500 ATEX",1,2600,1
"Product_n_38","res_partner_supplier_n_43","GPR-2600",1,2600,1
"Product_n_39","res_partner_supplier_n_43","GPR-1000",1,1950,1
"Product_n_40","res_partner_supplier_n_4","01A1000",1,5657,1
"Product_n_41","res_partner_supplier_n_4","01A1000A",1,5657,1
"Product_n_42","res_partner_supplier_n_4","01A9000",1,359,1
"Product_n_43","res_partner_supplier_n_4","01A9050",1,274,1
"Product_n_44","res_partner_supplier_n_4","01A9102",1,439,1
"Product_n_45","res_partner_supplier_n_4","01A9150",1,345,1
"Product_n_46","res_partner_supplier_n_4","01A9156",1,216,1
"Product_n_47","res_partner_supplier_n_4","01A9160",1,814,1
"Product_n_48","res_partner_supplier_n_4","01B4034",1,389,1
"Product_n_49","res_partner_supplier_n_4","01B4034W",1,389,1
"Product_n_50","res_partner_supplier_n_4","01B4036",1,222,1
"Product_n_51","res_partner_supplier_n_4","01B4036W",1,222,1
"Product_n_52","res_partner_supplier_n_4","01B4037",1,296,1
"Product_n_53","res_partner_supplier_n_4","01B4037W",1,296,1
"Product_n_54","res_partner_supplier_n_4","01B6300",1,107,1
"Product_n_55","res_partner_supplier_n_4","01B6300Ex",1,109,1
"Product_n_56","res_partner_supplier_n_4","01B6305",1,112,1
"Product_n_57","res_partner_supplier_n_4","01B6305Ex",1,114,1
"Product_n_58","res_partner_supplier_n_4","01B6310",1,162,1
"Product_n_59","res_partner_supplier_n_4","01B6310Ex",1,163,1
"Product_n_60","res_partner_supplier_n_4","01B6315",1,167,1
"Product_n_61","res_partner_supplier_n_4","01B6315Ex",1,169,1
"Product_n_62","res_partner_supplier_n_4","01B6320",1,170,1
"Product_n_63","res_partner_supplier_n_4","01B6320Ex",1,171,1
"Product_n_64","res_partner_supplier_n_4","01B6325",1,179,1
"Product_n_65","res_partner_supplier_n_4","01B6325Ex",1,181,1
"Product_n_66","res_partner_supplier_n_4","01B6350",1,108,1
"Product_n_67","res_partner_supplier_n_4","01B6350Ex",1,127,1
"Product_n_68","res_partner_supplier_n_4","01B6355",1,115,1
"Product_n_69","res_partner_supplier_n_4","01B6355Ex",1,133,1
"Product_n_70","res_partner_supplier_n_4","01B6360",1,163,1
"Product_n_71","res_partner_supplier_n_4","01B6360Ex",1,182,1
"Product_n_72","res_partner_supplier_n_4","01B6365",1,168,1
"Product_n_73","res_partner_supplier_n_4","01B6365Ex",1,187,1
"Product_n_74","res_partner_supplier_n_4","01B6367",1,168,1
"Product_n_75","res_partner_supplier_n_4","01B6370",1,171,1
"Product_n_76","res_partner_supplier_n_4","01B6370Ex",1,190,1
"Product_n_77","res_partner_supplier_n_4","01B6375",1,180,1
"Product_n_78","res_partner_supplier_n_4","01B6375Ex",1,199,1
"Product_n_79","res_partner_supplier_n_4","01B6380",1,180,1
"Product_n_80","res_partner_supplier_n_4","01B6400",1,116,1
"Product_n_81","res_partner_supplier_n_4","01B6400Ex",1,136,1
"Product_n_82","res_partner_supplier_n_4","01B6405",1,121,1
"Product_n_83","res_partner_supplier_n_4","01B6405Ex",1,142,1
"Product_n_84","res_partner_supplier_n_4","01B6410",1,171,1
"Product_n_85","res_partner_supplier_n_4","01B6410Ex",1,189,1
"Product_n_86","res_partner_supplier_n_4","01B6415",1,176,1
"Product_n_87","res_partner_supplier_n_4","01B6415Ex",1,195,1
"Product_n_88","res_partner_supplier_n_4","01B6420",1,179,1
"Product_n_89","res_partner_supplier_n_4","01B6420Ex",1,199,1
"Product_n_90","res_partner_supplier_n_4","01B6425",1,188,1
"Product_n_91","res_partner_supplier_n_4","01B6425Ex",1,208,1
"Product_n_92","res_partner_supplier_n_4","01B6450",1,122,1
"Product_n_93","res_partner_supplier_n_4","01B6450Ex",1,142,1
"Product_n_94","res_partner_supplier_n_4","01B6455",1,128,1
"Product_n_95","res_partner_supplier_n_4","01B6455Ex",1,147,1
"Product_n_96","res_partner_supplier_n_4","01B6460",1,176,1
"Product_n_97","res_partner_supplier_n_4","01B6460Ex",1,195,1
"Product_n_98","res_partner_supplier_n_4","01B6465",1,183,1
