"id","name","category_id","ref","property_payment_term","credit_limit","is_company","customer","supplier","parent_id/id","type","use_parent_address","street","street2","zip","country_id","phone","mobile","fax","email","website","comment","user_id"
"res_partner_supplier_n_1","Buhler Technologies GmbH","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","Harkorststrasse 29"," Ratingen, 40880","40880","Germany","+49(0)21 02 /49 89 32",,"+49(0) 21 02 /",,,,
"res_partner_supplier_n_2","Choice Analytical Pty Ltd.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","PO Box 28, Thornleigh NSW","  2120","2120","Australia",,,"+61 2 9980 6344",,,,
"res_partner_supplier_n_3","C.V. AUTTECH S.C.","Oversea",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","Noorderlaan 125","B-2030 Antwerpen, ",,"Belgium",,,,,,,
"res_partner_supplier_n_4","M&C TechGroup Germany GmbH","Oversea",,"45 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","Geschaftsfuhrer Olaf Sommer","Rehhecke 79, Ratingen 40885","40885","Netherlands","+49 2102 935-0",,"+49 2102 935-111",,,,
"res_partner_supplier_n_5","Testa GmbH Kathi - Kobus-Strasse","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","15 D - 80797 Monchen","Deutschland  ",,"Netherlands","+49 89 1293005",,"+ 49 89 1298835",,,,
"res_partner_supplier_n_6","Charles Austen Pumps Ltd.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","Royston Rd., Byfleet Surrey"," NY KT14 7","KT14 7","United Kingdom",,,,,,,
"res_partner_supplier_n_7","Headline Filters Ltd.","Oversea",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","Headline House, Mill Hall Business","Aylessfford, Kent ME20 7JZ ",,"United Kingdom","001-44-1622 718 927",,"001-44-1622",,,,
"res_partner_supplier_n_8","EM-Technik Gmbh","Oversea",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","Industriestra Be2 D-67133","Maxdorf  ",,"Germany","49(0)6237/4070",,,,,,
"res_partner_supplier_n_9","PLG Materials Pte Ltd.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","No.63 Jalan Pemimpin #05-01","Pemimpin Industrial Building  577219","577219","Singapore","(65)-6251 1315/1514",,,,,,
"res_partner_supplier_n_10","Precision Control PTE Ltd.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","62, Burn Rd. #02-01 TSH Centre","  369976","369976","Singapore",,,,,,,
"res_partner_supplier_n_11","CoreRock Inc.","Oversea",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","No.15. Lane 3, RuiAn St., Taipei,","  10665","10665","Taiwan","+8862-2707-3919",,"02-2707-1323",,,,
"res_partner_supplier_n_12","A.L.T Inter Corporation Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","52/1 Moo.5, Bangkruay-Sainoi Rd, Bangsithong","Banghruay Nonthaburi 111300","111300","Thailand","02-8638983/087-5005075",,"02-8863084",,,,
"res_partner_supplier_n_13","Air Liquide (Thailand) Limited","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","14/F Vorawat Building, Unit 1401-1402,849 Silom Rd","Bangrak, Bangkok 10500","10500","Thailand","02-635-1600",,"02-635-1601",,,,
"res_partner_supplier_n_14","AWJ Innovation Co.,ltd.","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","2/29 Soi Trokwatladbuakhao, Bangkorlaem,","Bangkorlaem, Bangkok 10210","10210","Thailand","081-9178991",,,,,,
"res_partner_supplier_n_15","Bangkok Industrial Gas Co., Ltd.","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","11th Floor, Rajanakarn Bldg.,183 South Sathorn Rd.","Yannawa, Sathorn, Bangkok 10120","10210","Thailand","02-685-678902-685-6790",,,,,,
"res_partner_supplier_n_16","Bara Scientific Co.,Ltd","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","U Chu Liang Building 968 Rama 4 Rd","Silom Bangrak Bangkok 10500","10500","Thailand","038-624150-1  038-624149",,,,,,
"res_partner_supplier_n_17","EBM-Papst(Thailand) Co.,Ltd","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","99/9 Moo2,CentralChaengwattana Tower,14th room140",",Chaengwattana Rd,Bangtarad,Pakkret,Nonthaburi Bangkok 13300","13300","Thailand","02-8353785-7",,"02-8353788",,,,
"res_partner_supplier_n_18","Ecosoft Co,.ltd.","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","427/1 Sathupradit Rd., Chongnonsi, Yanawa,"," Bangkok 10120","10120","Thailand","081-841-7480",,,,,,
"res_partner_supplier_n_19","Elec2rak Shop Online","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","50/46 หมู่5บางคูรัด บางบัวทอง"," Bangkok 11110","11110","Thailand","086-3731064,087-5641083",,,,,,
"res_partner_supplier_n_20","Entech Associate Co.,Ltd.","Domestic",,"30 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","17/121 Chinnaket 2/46, Ngamwongwan Rd.","Toongsonghong, Laksi, Bangkok 10210","10210","Thailand","02-831-6666",,"02-831-6667",,,,
"res_partner_supplier_n_21","Exion Thailand Company Limited","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","118, PSB Building, 4th Floor, Vibhavadi-Rangsit Rd","Jompol, Chatuchak Bangkok 10210","10210","Thailand","038-034468-9",,"038-034-470",,,,
"res_partner_supplier_n_22","Fuji Electric (Thailand) Co.,Ltd.","Domestic",,"7 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","889 Thai CC Tower, 11th FL, Room No.114-6, South","Sathorn Rd,Yanawa, Sathorn Bangkok 10210","10210","Thailand","02-210-0615-6,",,"02-675-6641",,,,
"res_partner_supplier_n_23","Fuji Electric Technology Co.,Ltd","Domestic",,"7 Days",,"TRUE","FALSE","TRUE",,"Default","FALSE","889 Thai CC Tower, 11th F1.,Room No.114-6","South Sathorn Road Yannawa, Sathorn, Bangkok 10500","10500","Thailand","02-210-0615, 02-210-0639-40",,"02-675-6641",,,,
"res_partner_supplier_n_24","GENERAL VACUUM & FLOW Co.,Ltd.","Domestic",,,,"TRUE","FALSE","TRUE",,"Default","FALSE","7/8 Moo 2, T.Tha-it,","A.Pakkred, Nonthaburi Bangkok 11120","11120","Thailand","02-924-5770(Auto)   Hotline: 081-823-0023",,,,,,
