"supplier/id","property_product_pricelist_purchase"
"res_partner_supplier_n_44","Purchase (USD)"
"res_partner_supplier_n_1","Purchase (EUR)"
"res_partner_supplier_n_3","Purchase (EUR)"
"res_partner_supplier_n_8","Purchase (EUR)"
"res_partner_supplier_n_8","Purchase (EUR)"
"res_partner_supplier_n_7","Purchase (GBP)"
"res_partner_supplier_n_7","Purchase (GBP)"
"res_partner_supplier_n_7","Purchase (GBP)"
"res_partner_supplier_n_5","Purchase (EUR)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_43","Purchase (USD)"
"res_partner_supplier_n_4","Purchase (EUR)"
