"id","name","default_code","brand","model","spec","categ_id","sale_ok","purchase_ok","type","procure_method","supply_method","cost_method","uom_id","uom_po_id","valuation","standard_price","list_price","taxes_id","supplier_taxes_id"
"Product_1","Gas Detector","AFC-0001","AFC","G200","0-1000 ppm","Indicator & Controller","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_2","Pump check valve","BU-000001","Buhler","P2.2",,"Spare Part","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_3","Diaphragm Vacuum Pump","KNF-0005","KNF","N814KTE","230V/50Hz IP00","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_4","Ball valve (Series6C) :","EM-00003","EM-Technic","6C742F0414PVFP51",,"Fitting","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_5","GL Connector (Series 3G) :","EM-00004",,"3G110FF4314PVFP",,"Fitting","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_6","SS Filter Housing 137G","HF-0003","HF","137G",,"Filter Housing","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_7","Filter element (3/pack) :","HF-0016","HF","12-32-50C","Pack of 3","Filter Element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_8","Viton Gasket Sets","HF-2000","HF","GV127",,"Gasket","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_9","FID Sample screw connection : 0125-3","TES-00002","Testa",,,"Fitting","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_10","Dry ice","TH-000025",,"น้ำแข็งแห้งเกร็ด","20 Kg/pack","Manufacturing Supplies","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_11","Wide Mouth Bottle","TH-000434","MNALGENE, USA","PP","500 ml","Labware","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_12","SS , Hypodermic needles luer lock gauge 18""x12""","TH-000136",,,,"Equipment","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_13","Oil filter","TH-000017","YUPAO","B-50",,"Filter Element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_14","Wire guide","TH-000014","ISOYA","งานไดกิ้น",,"Labware","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_15","Oxygen sensor","AII-0001","AII","PSR-11-21",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_16","Oxygen sensor","AII-0002","AII","PSR-12-223",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_17","Oxygen senser","AII-0003","AII","GPR-12-100M",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
"Product_18","Oxygen sensor","AII-0004","AII","GPR-12-333",,"Sensor element","TRUE","TRUE","Stockable Product","Make to Order","Buy","Standard Price","Ea","Ea","Real Time (automated)",0,0,"Output VAT","Input VAT"
