id,name,category_id,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_1,Asia Silicones Monomer Ltd.,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No.1 Moo 2, Asia Industrial Estate Tambol Banchang",Ampher Banchang,21130,Rayong,Thailand,,,,,,,,
res_partner_cust_2,บริษัท แอร์ ลิควิด (ประเทศไทย) จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,849 อาคารวรวัฒน์ ชั้น 14 ห้อง 1401-1402,ถนนสีลม  แขวงสีลม เขตบางรัก ,10500,ปราจีนบุรี,Thailand,,,,,,,,
res_partner_cust_3,Aditya Birla Chemicals (Thailand) Ltd.,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"3 Soi G-2, Prakornsongkraorad Rd., T.Hueypong,",A.Muangrayong.,21150,Rayong,Thailand,,,,,,,,
res_partner_cust_4,บริษัท อลูมิเนียม ฉื่อ จิ้น ฮั้ว จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,6 หมู่ 4 ถนนสุขสวัสดิ์  ตำบลบางครุ,อำเภอพระประแดง ,10130,สมุทรปราการ,Thailand,,,,,,,,
res_partner_cust_5,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),,,,,TRUE,TRUE,FALSE,,Default,FALSE,นิคมอุตสาหกรรมอมตะซิตี้ 7/104 ม.4 ถนนทางหลวง-,หมายเลข 331 ต.มาบยางพร อ.ปลวกแดง ,21140,ระยอง,Thailand,038-956060,,038-8956061-6,,,,,
res_partner_cust_6,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน) (Shipping),,,,,FALSE,TRUE,FALSE,บริษัท กระจกไทยอาซาฮี จำกัด (มหาชน),Shipping,FALSE,700/22  ม.6 ต.หนองไม้แดง ,อ.เมือง,20000,ชลบุรี,Thailand,,,,,,,,
res_partner_cust_7,บริษัท แอดวานซ์ ไบโอเคมิคอล (ประเทศไทย) จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,2/1 ถนนไอ-สาม ตำบลมาบตาพุด,อำเภอเมืองระยอง ,21150,ระยอง,Thailand,"038-925000, 038-3112-25",,038-683859,,,,,
res_partner_cust_8,บริษัท  บลู สแท็ค จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,58/84 อาคารวันดีสยาม ชั้น 3 ซ.เมืองทองธานี 3,ถ.แจ้งวัฒนะ ต.คลองเกลือ อ.ปากเกร็ด ,11120,นนทบุรี,Thailand,,,,,,,,
res_partner_cust_9,"Bayer Thai Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No.4-4/1, I-8 Road, Map Ta Phut Industrial Estate,","T.Map Ta Phut,  A.Muang  ",21150,Rayong,Thailand,038-683228,,038-683628,,,,,
res_partner_cust_10,NS BlueScope (Thailand) Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,2 Soi G9  Pakornsongkrohrad Road,"Maptaphut, A. Muang",10260,Rayong,Thailand,038-918300,,038-918302,,,,,
res_partner_cust_11,บมจ. บางจากปิโตรเลียม,,,,,TRUE,TRUE,FALSE,,Default,FALSE,210 ซ.สุขุมวิท 64  ถ.สุขุมวิท แขวงบางจาก,เขตพระโขนง,21150,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_12,"Bangkok Synthetics Co.,Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"5  I - 7  Road, T. Maptaphut,",A. Muang ,21000,Rayong,Thailand,,,,,,,,
res_partner_cust_13,บริษัท บางกอกโพลีเอททีลีน จำกัด (มหาชน),,,,,TRUE,TRUE,FALSE,,Default,FALSE,555/1 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคาร เอ ชั้น 15,ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร,10900,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_14,บริษัท เบรฟ เอ็นจิเนียริ่ง จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,127/13 -14 หมู่ที่ 12 ถนนรามอินทรา แขวงคลองกุ่ม,เขตบึงกุ่ม กรุงเทพมหานคร ,10230,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_15,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,183 อาคารรัจนาการ ชั้น 11 ถนนสาทรใต้,แขวงยานนาวา เขตสาทร,10120,กรุงเทพฯ,Thailand,"02-6856789,038-683920-3",,"02-6856790,038-683354",,,,,
res_partner_cust_16,บริษัท บี วาย เอ็ม เทรดดิ้ง จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,65 ซ.อ่อนนุช 62 ถ.สุขุมวิท 77 แขวงสวนหลวง,เขตสวนหลวง ,10250,กรุงเทพฯ,Thailand,02-7212347-8,,02-7211255,,,,,
res_partner_cust_17,ห้างหุ้นส่วนจำกัด บริพัต,,,,,TRUE,TRUE,FALSE,,Default,FALSE,1308 ซอยพระรามที่ 2 ซ.43 แขวงบางมด,เขตจอมทอง  ,10150,กรุงเทพฯ,Thailand,081-9175805,,02-8960026,,,,,
res_partner_cust_18,บริษัท บีเอเอสเอฟ (ไทย) จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,ชั้น 23 อาคารเอ็มโพเรี่ยม ทาวเวอร์ 622, ,10110,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_19,"Bangkok Synthetics Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"22 ndloor,Sathorn City Tower,175 South Sathorn","road,Thungmahamek,Sathorn,",10120,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_20,บริษัท บางกอกโคเจนเนอเรชั่น จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,183 อาคารรัจนาการ ชั้น 11 ถนนสาทรใต้,แขวงยานนาวา เขตสาทร กรุงเทพฯ ,10120,กรุงเทพฯ,Thailand,02-6856715,,,,,,,
res_partner_cust_21,"CONTROLOGIC CO., LTD.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"343, 345, 347 Soi Pattanakarn 3, Pattanakarn Rd.,","Suanluang,",10250,Bangkok,Thailand,"02-7198398,02-3187499",,"02-7198396,02-3182818",,,,,
res_partner_cust_22,บริษัท ซิตี้ก๊าซ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,189/194 ม.5 ซอยเลียบคลองบางไผ่  ถนนจันทร์ทองเอี่ยม,ต.บางรักพัฒนา อ.บางบัวทอง ,11110,นนทบุรี,Thailand,,,,,,,,
res_partner_cust_23,บริษัท เจริญชัย เทรดดิ้ง เอ็นจิเนียริ่ง จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,42 ซอยรามคำแหง 64 ถนนรามคำแหง,หัวหมาก บางกะปิ,10240,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_24,บริษัท ไดกิ้น คอมเพรสเซอร์ อินดัสทรีส์ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,7/202 นิคมอุตสาหกรรมอมตะ ซิตี้,ม.6 ต.มาบยางพร อ.ปลวกแดง ,21140,ระยอง,Thailand,038-650060,,038-650061-2,,,,,
res_partner_cust_25,"DH TRADING & SERVICE CO., LTD.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"34/10 M00 4 Cheangnuen,","Muang,",21000,Rayong,Thailand,038-991059,,038-991059,,,,,
res_partner_cust_26,บริษัท เด็มโก้ จำกัด (มหาชน),,,,,TRUE,TRUE,FALSE,,Default,FALSE,59 หมู่ 1 ตำบลสวนพริกไทย อำเภอเมืองปทุมธานี,,12000,ปทุมธานี,Thailand,02-9595811,,,,,,,
res_partner_cust_27,บริษัท อิวอนิก ไทย แอโรซิล จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,990 อาคารอับดุลราฮิม ชั้น 9 ถนนพระรามที่ 4,แขวงสีลม เขตบางรัก,10500,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_28,บริษัท ฟาโก เทคโนโลยี่ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,267/90  ชั้น 1  ถ.สุขุมวิท  ต.มาบตาพุด,อ.เมือง,21150,ระยอง,Thailand,,,,,,,,
res_partner_cust_29,"Fabrinet Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"5/6 Moo 6, Tambol Klong Nung, Amphur Klongluang,",,12120,Pathumtani,Thailand,02-5249600 ,,02-5249691-2,,,,,
res_partner_cust_30,บริษัท แฟคตอรี่ฮับ ดิสทริบิวชั่น จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,580/280 ซ.โพธิ์ปั้น แยก 7 ถ.อโศก-ดินแดง แขวงดินแดง,เขตดินแดง ,10400,กรุงเทพฯ,Thailand,02-6419445,,02-6419545,,,,,
res_partner_cust_31,Friendstech Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No 19, Alley 46/61, Nguyen Co Thach Street,Tan My","Village,My Dinh,Tu Liem Dist",,Hanoi ,Thailand,+84-04-6674-0729,,84-4-3685-7771,,,,,
res_partner_cust_32,GLOW SPP 2 COMPANY LIMITED,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No. 11, I - 5 Rd., Maptaphut,","Muang,",21150,Rayong,Thailand,038-698400,,"038-684789, 038-687428",,,,,
res_partner_cust_33,GLOW SPP 3 COMPANY LIMITED,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No. 11, I - 5 Rd., Maptaphut,",Muang,21150,Rayong,Thailand,038-698400,,"038-684789, 038-687428",,,,,
res_partner_cust_34,Glow Energy Public Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No. 3, I - 4 Rd.,  Maptaphut,",Muang,21150,Rayong,Thailand,,,,,,,,
res_partner_cust_35,บริษัท จีเอสอี ไลนิ่ง เทคโนโลยี จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,111/5 หมู่ 2  ต.นิคมพัฒนา,อ.นิคมพัฒนา ,21180,Rayong,Thailand,,,,,,,,
res_partner_cust_36,GLOW ENERGY PUBLIC COMPANY LIMITED,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No. 11, I - 5 Rd., Maptaphut,","Muang,",21150,Rayong,Thailand,038-698400,,"038-684789, 038-687428",,,,,
res_partner_cust_37,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,555/2 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคาร บี ชั้น 14,ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร,10900,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_38,GLOW SPP 1 COMPANY LIMITED,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No. 10, Soi G2, Pakornsongkrawhrat Rd.,","Huaypong, Muang, ",21150,Rayong,Thailand,,,,,,,,
res_partner_cust_39,"GHECO-One Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"No.11, I - 5 Road, Maptaphut,",Muang District,21150,Rayong,Thailand,038-698400,,"038-684789, 038-687428",,,,,
res_partner_cust_40,"Halla Climate Control (Thailand) Co., Ltd.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"64/4  Moo 4, T.Pluakdaeng, A.Pluakdaeng",,21140,Rayong,Thailand,,,,,,,,
res_partner_cust_41,HMC Polymers Company Limited,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"175 Sathorn City Tower, 20thloor, South Sathorn","Road,Thungmahamek, Sathorn,",10120,Bangkok,Thailand,02-6143700,,02-6796380,,,,,
res_partner_cust_42,"ILABLUID CONTROL CO., LTD.",,,,,TRUE,TRUE,FALSE,,Default,FALSE,"92/22 Soi Nuanchan Ramindra Road, Klongkum,","Boengkum,",10230,Bangkok,Thailand,,,,,,,,
res_partner_cust_43,บริษัท ไออาร์พีซี จำกัด (มหาชน),,,,,TRUE,TRUE,FALSE,,Default,FALSE,555/2 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคาร บี ชั้น 6,ถ.วิภาวดีรังสิต  แขวงจตุจักร  เขตจตุจักร  ,10900,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_44,บริษัท สยามแผ่นเหล็กวิลาส จำกัด,,,,,TRUE,TRUE,FALSE,,Default,FALSE,เลขที่ 9 ถนน ไอ-ห้า นิคมอุตสาหกรรมมาบตาพุด,อ.เมือง ,21150,ระยอง,Thailand,,,,,,,,
res_partner_cust_45,Intertek Testing Services (Thailand) Ltd.,,,,,TRUE,TRUE,FALSE,,Default,FALSE,"22 Nernsumlee Road, Tambol Nernphra","Amphur Muang, ",21150,Rayong,Thailand,,,,,,,,
