id,name
product_brand_1,Amani
product_brand_2,Balston
product_brand_3,Burhler
product_brand_4,EM-Technic
product_brand_5,Flowtek
product_brand_6,Hylok
product_brand_7,ISOYA
product_brand_8,Neuva Fema
product_brand_9,Schneide
product_brand_10,Shurflo
product_brand_11,Swagelok
product_brand_12,Swaglok
product_brand_13,Testa
product_brand_14,AFC
product_brand_15,AII
product_brand_16,DWYER
product_brand_17,GO
product_brand_18,HF
product_brand_19,IKA
product_brand_20,KNF
product_brand_21,KNF
product_brand_22,M-PLUS
product_brand_23,M-SYSTEM
product_brand_24,M&C
product_brand_25,Michell
product_brand_26,"MNALGENE, USA"
product_brand_27,O'Brien
product_brand_28,Parker
product_brand_29,Siam Nathan
product_brand_30,SMC
product_brand_31,WRW
product_brand_32,YUPAO
