id,name,parent_id,type,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
product.product_category_all,All products,,View,,,,,
product_category_fg,Finished Goods,All products,View,,,,,
product_category_service,Service,All products,View,,,,,
product_category_supplies,Supplies,All products,View,,,,,
product_category_officesupplies,Office Supplies,Supplies,Normal,,,,,
product_category_manusupplies,Manufacturing Supplies,Supplies,Normal,,,,,
product_category_equipment,Equipment,Finished Goods,Normal,,,,,
product_category_instrument,Instrument-Analyzer,Finished Goods,Normal,,,,,
product_category_sparepart,Spare Part,Finished Goods,Normal,,,,,
product_category_calibration,Calibration,Service,Normal,,,,,
product_category_renting,Renting,Service,Normal,,,,,
product_category_repairing,Repairing,Service,Normal,,,,,
product_category_delivery,Delivery,Service,Normal,,,,,
product_category_consultancy,Consultancy,Service,Normal,,,,,
