id,name
product_size_1,-120 to -40 °C
product_size_2,-75 to -20 DegC.DP
product_size_3,",230VAC :"
product_size_4,",BK100-240V,Multi-range 2ch"
product_size_5,(75mm.)
product_size_6,0.01 Micron
product_size_7,"1/4"""
product_size_8,"1/4"" RT x OD 6 mm."
product_size_9,"1/4"" x 0.035"" 316L SMLS SS"
product_size_10,"1/4""FNPT,"
product_size_11,"1/4""FNPTx1/8""RT"
product_size_12,"1/4""OD"
product_size_13,"1/4""Tube OD"
product_size_14,"10mm, thickness 1.5mm"
product_size_15,10mm.
product_size_16,115/230VAC
product_size_17,11oz
product_size_18,12 ml.
product_size_19,120 to -40 °C
product_size_20,16 x 15 M4
product_size_21,"2 1/2"""
product_size_22,2/4L
product_size_23,20 Kg/pack
product_size_24,200/pkg
product_size_25,22ml
product_size_26,230V
product_size_27,230V/50Hz IP00
product_size_28,230V/50Hz.
product_size_29,230VAC
product_size_30,23VAC
product_size_31,24V AC/DC
product_size_32,250ml
product_size_33,2L/PV-1
product_size_34,2mm pack 500g.
product_size_35,3 wire(Single element)
product_size_36,3.50 mm
product_size_37,"3/4"" Protech SS304 Thk2mm"
product_size_38,4 Blade
product_size_39,4.00 mm
product_size_40,5.00 mm
product_size_41,500 ml
product_size_42,"500 ml,"
product_size_43,6/8
product_size_44,"6A,250VAC"
product_size_45,"6A,250VAC,2NO/2NC Cont 7A"
product_size_46,6mm:
product_size_47,"Cal 20,30,40,50C"
product_size_48,"Dia 7"" x 31"""
product_size_49,"Dia 7""x31"""
product_size_50,"DN 4/6-G 1/4"""
product_size_51,"DN 4/6-G1/8"""
product_size_52,DN4/6 PVDF :
product_size_53,DN4/6mm
product_size_54,DN4/6mm:
product_size_55,DN6/8
product_size_56,EC-EX-1SS
product_size_57,ECS-1G
product_size_58,"G1/4"""
product_size_59,"G1/8"", PVDF :"
product_size_60,GL25-8mm
product_size_61,Graphite
product_size_62,Kalrez
product_size_63,M20 x 1.5
product_size_64,"OD 1/2"" x 1/2"" NPT"
product_size_65,"OD 1/2"" x 3/4"" M-NPT #"
product_size_66,"OD 1/2"" x 3/4"" NPT SS"
product_size_67,"OD 1/4"" x 1/2"" NPT"
product_size_68,"OD 1/4"" x 1/4"" FNPT"
product_size_69,"OD 1/4"" x 1/4"" MNPT,"
product_size_70,"OD 1/4"" x 1/4"" NPT"
product_size_71,"OD 1/4"" x 1/8"" M-NPT"
product_size_72,"OD 1/4"" x 1/8"" MNPT"
product_size_73,"OD 1/4"" x 1/8"" NPT"
product_size_74,"OD 1/4"" x 1/8"" R-PT"
product_size_75,"OD 1/4""x1/4""MNPT"
product_size_76,"OD 1/4""x1/8"" NPT;"
product_size_77,"OD 1/8"" x 1/8"" M NPT"
product_size_78,"OD 1/8""x1/8"" NPT;"
product_size_79,"OD 3/4"" x 3/4"" NPT"
product_size_80,"OD 6 mm. x 3/8"" BSPP"
product_size_81,"OD. 1/4"" x 1/4"" MNPT"
product_size_82,"OD. 1/4"" x 1/4"" MNPT SS316"
product_size_83,"OD.1/4"" X 1/8""MISO"
product_size_84,"OD.1/4""x0.035"" WTx6m."
product_size_85,"OD1/4"""
product_size_86,"OD1/4""x0.049 , 6 m."
product_size_87,OD12 x ID10mm
product_size_88,Pack of 3
product_size_89,PP
product_size_90,PTFE
product_size_91,PTFE/Glass
product_size_92,PVDF
product_size_93,PVDF :
product_size_94,"R. 0-30 psi/Bar, Dia 2.1/2"""
product_size_95,range -120/+40'C
product_size_96,"Size 1 L, SS,DUAL,10PK"
product_size_97,strip G
product_size_98,strip L
product_size_99,strip N
product_size_100,strip No.0
product_size_101,strip No.1
product_size_102,"type ECM-1, 23VAC :"
product_size_103,Vition
product_size_104,Viton
product_size_105,W650 x H1000 x D350mm
product_size_106,หนา 1.5มม ขนาด 135 x 57 x 365 มม
product_size_107,หนา 1.5มม ขนาด130 x 55 x 360 มม
