"id","name","default_code","brand","model","description","categ_id","sale_ok","purchase_ok","type","procure_method","supply_method","cost_method","uom_id","uom_po_id","valuation","standard_price","list_price","taxes_id","supplier_taxes_id"
"Product_HF_0001","Disposable Coalescing Filter Element",,"HF","12-32-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0002","Disposable Coalescing Filter Element",,"HF","12-57-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0003","Disposable Coalescing Filter Element",,"HF","25-64-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0004","Disposable Coalescing Filter Element",,"HF","25-127-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0005","Disposable Coalescing Filter Element",,"HF","25-178-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0006","Disposable Coalescing Filter Element",,"HF","38-152-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0007","Disposable Coalescing Filter Element",,"HF","51-89-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0008","Disposable Coalescing Filter Element",,"HF","51-230-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0009","Disposable Coalescing Filter Element",,"HF","51-476-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/10","Box/10","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0010","Disposable Coalescing Filter Element",,"HF","12-32-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/3","Box/3","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0011","Disposable Coalescing Filter Element",,"HF","12-57-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/3","Box/3","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_HF_0012","Disposable Coalescing Filter Element",,"HF","25-64-50C 60C 70C 80C","C Type","Filter Element","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Box/3","Box/3","Periodical (manual)",0,0,"Output VAT","Input VAT"
