"id","name","default_code","brand","model","description","categ_id","sale_ok","purchase_ok","type","procure_method","supply_method","cost_method","uom_id","uom_po_id","valuation","standard_price","list_price","taxes_id","supplier_taxes_id"
"Product_00001","Portable Ambient Oxygen Monitors",,"AII","AII-3000 A","Analysis Ranges: 0-100% oxygen 
Area Classification: General purpose
Connections: 1x16 mm thread
Power: 2 AA Alkaline batteries
Signal Output: None
Sensor Model: AII-11-60","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00002","Portable Ambient Oxygen Monitors",,"AII","AII-3000 AHC","Analysis Ranges: 0-100% oxygen 
Area Classification: General purpose
Connections:Tubing 1/4” 
Power: 2 AA Alkaline batteries
Signal Output: None
Sensor Model: AII-11-60-HC","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00003","Portable Ambient Oxygen Monitors",,"AII","AII-3000 M","Analysis Ranges: 0-100% oxygen 
Area Classification: General purpose
Connections: 1x16 mm thread
Power: 2 AA Alkaline batteries
Signal Output: None
Sensor Model: AII-11-60","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00004","Portable PPM Oxygen Analyzer",,"AII","GPR-1000","Analysis Ranges: 0-1000 PPM, 0-1%, 0-25% (CAL) FS Auto-ranging or manual lock on a single range
Area Classification: General purpose
Connections: 1/8"" compression tube fittings
Power: Rechargeable battery
Signal Output: 0-1V FS
Sensor Model: GPR-12-100-M for non-acid (CO2) gas streams 
                           XLT-12-100-M for gas mixture with > 0.5% CO2   ","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00005","Portable PPM Oxygen Analyzer",,"AII","GPR-1000 ATEX","Analysis Ranges: 0-1000 PPM, 0-1%, 0-25% (CAL) FS Auto-ranging or manual lock on a single range
Area Classification: Class I, Division 1, Groups C, D 
Connections: 1/8"" compression tube fittings
Power: Rechargeable battery
Signal Output: 0-1V FS
Sensor Model: GPR-12-100-M for non-acid (CO2) gas streams 
                           XLT-12-100-M for gas mixture with > 0.5% CO2   ","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00006","Portable PPM Oxygen Analyzer",,"AII","GPR-1100","Analysis Ranges: 0-10, 0-100, 0-1000 PPM, 0-1%, 0-25% (CAL) FS Auto-ranging or manual lock on a single range 
Area Classification: General purpose
Connections: 1/8"" compression tube fittings
Power: Rechargeable battery
Signal Output: 0-1V FS
Sensor Model: GPR-12-333 for non-acid (CO2) gas streams 
                           XLT-12-333 for gas mixture with > 0.5% CO2 ","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00007","Portable PPM Oxygen Analyzer",,"AII","GPR-1100 ATEX","Analysis Ranges:  0-10, 0-100, 0-1000 PPM, 0-1%, 0-25% (CAL) FS Auto-ranging or manual lock on a single range
Area Classification: Class I, Division 1, Groups C, D 
Connections: 1/8"" compression tube fittings
Power: Rechargeable battery
Signal Output: 0-1V FS
Sensor Model: GPR-12-333 for non-acid (CO2) gas streams 
                           XLT-12-333 for gas mixture with > 0.5% CO2 ","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00008","Portable PPM Trace Oxygen Analyzer",,"AII","GPR-1200","Analysis Ranges: 0-10, 0-100, 0-1000 PPM, 0-1%, 0-25% (CAL) FS Auto-ranging or manual lock on a single range 
Area Classification: General purpose
Connections: 1/8"" compression tube fittings
Power: Rechargeable battery
Signal Output: 0-1V FS
Sensor Model: GPR-12-333 for non-acid (CO2) gas streams 
                           XLT-12-333 for gas mixture with > 0.5% CO2 ","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00009","Portable PPM Oxygen Analyzer",,"AII","GPR-1200 ATEX","Analysis Ranges: 0-10, 0-100, 0-1000 PPM, 0-1%, 0-25% (CAL) FS Auto-ranging or manual lock on a single range 
Area Classification: Class I, Division 1, Groups C, D 
Connections: 1/8"" compression tube fittings
Power: Rechargeable battery
Signal Output: 0-1V FS
Sensor Model: GPR-12-333 for non-acid (CO2) gas streams 
                           XLT-12-333 for gas mixture with > 0.5% CO2 ","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00010","Portable PPB Oxygen Analyzer",,"AII","GPR-1200 MS","Analysis Ranges: 0-1, 0-10, 0-100, 0-1000 PPM FS ranges; Auto-ranging or manual lock on a single range
Area Classification: Class I, Division 1, Groups C, D
Connections: 1/8"" compression tube fittings
Power: Rechargeable battery
Signal Output: 0-1V FS
Sensor Model: GPR-12-2000MS   ","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
