"id","name","default_code","brand","model","description","categ_id","sale_ok","purchase_ok","type","procure_method","supply_method","cost_method","uom_id","uom_po_id","valuation","standard_price","list_price","taxes_id","supplier_taxes_id"
"Product_00235","Portable oxygen analyser","01A1000","M&C","PMA 10","Portable oxygen analyser type PMA 10. With combinated analog/digital display in a portable housing. Signal output: 0-1V. Measuring ranges: 0-3/10/30/100 Vol%O2, including flowmeter with needle valve: 7-70l/h. Power: 115V/60Hz.","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00236","Portable oxygen analyser","01A1000A","M&C","PMA 10S","Portable oxygen analyser type PMA10S for oxygen purity measurement, with zero suppression 99-100 Vol%O2 over an expended scale of 1% full scale. (other ranges on request) With combinated analog/digital display in a portable housing. Signal output: 0-1V. Measuring ranges: 0-3/10/30/100 Vol%O2, including flowmeter with needle valve: 6-60l/h. Power: 230V/50Hz.","Analyzer For Gas","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00237","Extra charge","01A9000","M&C",,"Extra charge for PMA 10 with battery operation, battery charger incorporated in analyser.","Other Service","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00238","Extra charge","01A9050","M&C",,"Extra charge for gas sample pump incorporated in analyser type PMA 10. Capacity: 1 Nl/min without pressure.","Other Service","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00239","Extra charge","01A9102","M&C",,"Extra charge for alarm contact at analyser type PMA 10, adjustable from 0-100%O2. Potential-free changeover contact with plug at the rear of the housing.","Other Service","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00240","Extra charge","01A9150","M&C",,"Extra charge for PMA 10 with Piezo acoustic alarm and automatic reset (30 sec.). (only in combination with alarm 01A9150).","Other Service","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00241","Extra charge","01A9156","M&C",,"Extra charge for qualification test according to TA-Luft + EN 14181 resp. 13. and 17. BImSchV of analyser type PMA 10. Incl. signal output: 4-20mA (0-20mA on request)","Other Service","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00242","Spare filter element","01A9160","M&C","PMA10","Spare filter element PMA10.","Accessory","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00243","End-fitting","01B4034","M&C","Type K","End-fitting type K for heated sample line type PSP 4M4/6. With tube piece. 0,5m connection cable to the end, with 7-pin plug.","Accessory","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_00244","End-fitting","01B4034W","M&C","Type K","End-fitting type K for heated sample line type PSP4M4/6-W. With tube piece. 0,5m connection cable to the end, with 7-pin plug.","Accessory","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
