id,name,active,category_id/id,uom_type,rounding,factor_inv,factor
product.product_uom_cm,cm,FALSE,product.uom_categ_length,smaller,0.01,0.01,100
product.product_uom_day,Day,FALSE,product.uom_categ_wtime,reference,0.01,1,1
product.product_uom_dozen,Dozen,TRUE,product.product_uom_categ_unit,bigger,0.01,12,0.0833333333
product.product_uom_gram,Gram,FALSE,product.product_uom_categ_kgm,smaller,0.01,0.001,1000
product.product_uom_hour,Hour,FALSE,product.uom_categ_wtime,smaller,0.01,0.125,8
product.product_uom_kgm,Kg,TRUE,product.product_uom_categ_kgm,reference,0.01,1,1
product.product_uom_km,Km,FALSE,product.uom_categ_length,bigger,0.01,1000,0.001
product.product_uom_litre,Liter,FALSE,product.product_uom_categ_vol,reference,0.01,1,1
product.product_uom_meter,Meter,TRUE,product.uom_categ_length,reference,0.01,1,1
product.product_uom_ton,Ton,FALSE,product.product_uom_categ_kgm,bigger,0.01,1000,0.001
product.product_uom_unit,Ea,TRUE,product.product_uom_categ_unit,reference,0.01,1,1
product.product_uom_box,Box,TRUE,product.product_uom_categ_unit,smaller,0.01,1,1
product.product_uom_pack,Pack,TRUE,product.product_uom_categ_unit,smaller,0.01,1,1
product.product_uom_pair,Pair,TRUE,product.product_uom_categ_unit,smaller,0.01,1,1
product.product_uom_set,Set,TRUE,product.product_uom_categ_unit,smaller,0.01,1,1
product.product_uom_roll,Roll,TRUE,product.product_uom_categ_unit,smaller,0.01,1,1
product.product_uom_cylinder,Cylinder,TRUE,product.product_uom_categ_unit,smaller,0.01,1,1
